Neutral;2021-10-11 19:36:38.339233;1634002598.339241
Feliz;2021-10-11 19:36:39.224110;1634002599.224117
Neutral;2021-10-11 19:36:39.341428;1634002599.341434
Neutral;2021-10-11 19:36:39.685285;1634002599.685292
Neutral;2021-10-11 19:36:40.235749;1634002600.235756
Sorprendido;2021-10-11 19:36:40.331916;1634002600.3319218
Enojado;2021-10-11 19:36:40.443246;1634002600.443252
Feliz;2021-10-11 19:36:40.539432;1634002600.539438
Feliz;2021-10-11 19:36:41.027721;1634002601.0277271
Feliz;2021-10-11 19:36:41.160339;1634002601.160345
Feliz;2021-10-11 19:36:41.270436;1634002601.270442
Sorprendido;2021-10-11 19:36:41.406348;1634002601.4063559
Sorprendido;2021-10-11 19:36:41.612339;1634002601.612345
Enojado;2021-10-11 19:36:41.719654;1634002601.719661
Sorprendido;2021-10-11 19:36:41.853725;1634002601.853732
Sorprendido;2021-10-11 19:36:42.434714;1634002602.434721
Disgustado;2021-10-11 19:36:42.533253;1634002602.533259
Sorprendido;2021-10-11 19:36:42.647756;1634002602.647763
Sorprendido;2021-10-11 19:36:43.913438;1634002603.9134452
Sorprendido;2021-10-11 19:36:44.085903;1634002604.085909
Neutral;2021-10-11 19:36:44.429180;1634002604.429187
Feliz;2021-10-11 19:36:44.538806;1634002604.5388129
Enojado;2021-10-11 19:36:44.638038;1634002604.6380448
Feliz;2021-10-11 19:36:44.750943;1634002604.7509508
Enojado;2021-10-11 19:36:44.885678;1634002604.885685
Enojado;2021-10-11 19:36:45.016075;1634002605.0160809
Neutral;2021-10-11 19:36:45.145866;1634002605.1458719
Neutral;2021-10-11 19:36:45.259072;1634002605.2590778
Neutral;2021-10-11 19:36:45.365900;1634002605.365908
Neutral;2021-10-11 19:36:45.470568;1634002605.470575
Neutral;2021-10-11 19:36:45.592366;1634002605.592373
Neutral;2021-10-11 19:36:45.712665;1634002605.712671
Neutral;2021-10-11 19:36:45.836657;1634002605.836664
Enojado;2021-10-11 19:36:45.950721;1634002605.950727
Enojado;2021-10-11 19:36:46.046963;1634002606.0469692
Enojado;2021-10-11 19:36:46.157226;1634002606.157233
Neutral;2021-10-11 19:36:46.256695;1634002606.256701
Feliz;2021-10-11 19:36:46.373049;1634002606.373055
Feliz;2021-10-11 19:36:47.634106;1634002607.634112
Sorprendido;2021-10-11 19:36:47.814925;1634002607.8149672
Feliz;2021-10-11 19:36:48.775238;1634002608.775244
Feliz;2021-10-11 19:36:48.920345;1634002608.920351
Feliz;2021-10-11 19:36:49.053706;1634002609.053712
Enojado;2021-10-11 19:36:50.316712;1634002610.316718
Enojado;2021-10-11 19:36:50.492321;1634002610.492327
Feliz;2021-10-11 19:36:51.088702;1634002611.0887082
Sorprendido;2021-10-11 19:36:52.158244;1634002612.15825
Feliz;2021-10-11 19:36:52.278804;1634002612.278811
Sorprendido;2021-10-11 19:36:52.387170;1634002612.387177
Neutral;2021-10-11 19:36:52.484140;1634002612.4841459
Sorprendido;2021-10-11 19:36:52.656228;1634002612.656235
Neutral;2021-10-11 19:36:52.771494;1634002612.7715
Neutral;2021-10-11 19:36:52.905165;1634002612.905171
Neutral;2021-10-11 19:36:53.099838;1634002613.099844
Neutral;2021-10-11 19:36:53.225971;1634002613.2259772
Neutral;2021-10-11 19:36:53.339964;1634002613.339971
Sorprendido;2021-10-11 19:36:53.467003;1634002613.467008
Neutral;2021-10-11 19:36:53.586090;1634002613.586096
Neutral;2021-10-11 19:36:53.693771;1634002613.693778
Neutral;2021-10-11 19:36:53.792426;1634002613.792432
Sorprendido;2021-10-11 19:36:53.908005;1634002613.908012
Neutral;2021-10-11 19:36:54.037224;1634002614.03723
Neutral;2021-10-11 19:36:54.134328;1634002614.1343338
Sorprendido;2021-10-11 19:36:54.256514;1634002614.25652
Neutral;2021-10-11 19:36:54.380484;1634002614.380491
Neutral;2021-10-11 19:36:54.490355;1634002614.490361
Neutral;2021-10-11 19:36:54.626488;1634002614.626494
Sorprendido;2021-10-11 19:36:54.735431;1634002614.735438
Sorprendido;2021-10-11 19:36:54.857579;1634002614.857585
Sorprendido;2021-10-11 19:36:54.971711;1634002614.9717171
Neutral;2021-10-11 19:36:55.071510;1634002615.071517
Sorprendido;2021-10-11 19:36:55.188846;1634002615.188852
Enojado;2021-10-11 19:36:55.406654;1634002615.406661
Neutral;2021-10-11 19:36:55.520019;1634002615.5200262
Enojado;2021-10-11 19:36:55.656995;1634002615.657001
Enojado;2021-10-11 19:36:55.787899;1634002615.787905
Sorprendido;2021-10-11 19:36:55.905372;1634002615.905378
Sorprendido;2021-10-11 19:36:56.031915;1634002616.0319219
